grafia_original,fundido_em,similaridade,registros
JARDOM BOTANICO,JARDIM BOTANICO,0.933,27
S GERALDO,SAO GERALDO,0.9,13
JARDIM S PEDRO,JARDIM SAO PEDRO,0.933,8
RUBEN BERTA,RUBEM BERTA,0.909,5
S SEBASTIAO,SAO SEBASTIAO,0.917,4
P D AREIA,P DAREIA,0.941,4
HIGIANOPOLIS,HIGIENOPOLIS,0.917,4
INDEPEDENCIA,INDEPENDENCIA,0.96,3
T FIGUEIRAS,TRES FIGUEIRAS,0.88,3
PINHEIRO,L PINHEIRO,0.889,3
HIGEANOPOLIS,HIGIENOPOLIS,0.917,3
BELEN VELHO,BELEM VELHO,0.909,3
ARQUIPELOGO,ARQUIPELAGO,0.909,2
MONTE SERRAT,MONT SERRAT,0.957,2
MONT SERRA,MONT SERRAT,0.952,2
ABERTO DOS MORROS,ABERTA DOS MORROS,0.941,2
CETRO HISTORICO,CENTRO HISTORICO,0.968,2
TEREZOPOLIS,TERESOPOLIS,0.909,2
PRAIA BELAS,PRAIA DE BELAS,0.88,2
VILA NOVO,VILA NOVA,0.889,2
AUXLIADORA,AUXILIADORA,0.952,1
SANTA M GORETTI,SANTA MARIA GORETTI,0.882,1
PRAI DE BELAS,PRAIA DE BELAS,0.963,1
CENTRO HITORICO,CENTRO HISTORICO,0.968,1
MANINO DEUS,MENINO DEUS,0.909,1
IPICA,HIPICA,0.909,1
TRES FIGUEIRA,TRES FIGUEIRAS,0.963,1
MON T SERRA T,MONT SERRAT,0.917,1
SANTA EREZA,SANTA TEREZA,0.957,1
CIDADE BAIXO,CIDADE BAIXA,0.917,1
RUEBM BERTA,RUBEM BERTA,0.909,1
PETROPLIS,PETROPOLIS,0.947,1
JAD ITU SABARA,JARDIM ITU SABARA,0.903,1
CHAPEU DOS SOL,CHAPEU DO SOL,0.963,1
MOINHOS DE VENTOS,MOINHOS DE VENTO,0.97,1
JAD SAO PEDRO,JARDIM SAO PEDRO,0.897,1
FAROUPILHA,FARROUPILHA,0.952,1
BELAVISTA,BELA VISTA,0.947,1
COR APARICIO BORGES,CORONEL APARICIO BORGES,0.905,1
SANTA MARIA GORETI,SANTA MARIA GORETTI,0.973,1
RESNTINGA,RESTINGA,0.941,1
BOM JESEUS,BOM JESUS,0.947,1
ARQUIPELO,ARQUIPELAGO,0.9,1
JARDIM SALSO,JARDIM DO SALSO,0.889,1
JARIDM CARVALHO,JARDIM CARVALHO,0.933,1
JDIM ITU SABARA,JARDIM ITU SABARA,0.938,1
LOMBA DO PINEHIRO,LOMBA DO PINHEIRO,0.941,1
MENIDO DEUS,MENINO DEUS,0.909,1
PASSO DAS PEDRAS 2,PASSO DAS PEDRAS,0.941,1
PASSO DAS PEDRAS GR,PASSO DAS PEDRAS,0.914,1
CASCATAS,CASCATA,0.933,1
VILANOVA,VILA NOVA,0.941,1
RUBEM BERTHA,RUBEM BERTA,0.957,1
ABERTA DOS MORRO,ABERTA DOS MORROS,0.97,1
SANTA MARIA GORETE,SANTA MARIA GORETTI,0.919,1
MOINHIS DE VENTO,MOINHOS DE VENTO,0.938,1
PRAIAS DE BELAS,PRAIA DE BELAS,0.966,1
HIGENOPOLIS,HIGIENOPOLIS,0.957,1
LAGEDO,LAGEADO,0.923,1
CENNTRO HISTORICO,CENTRO HISTORICO,0.97,1
CENTRO HISTOICO,CENTRO HISTORICO,0.968,1
CENTRO HISTOTICO,CENTRO HISTORICO,0.938,1
PARUQE SANTA FE,PARQUE SANTA FE,0.933,1
SANTA CELILIA,SANTA CECILIA,0.923,1
PASSO DA S PEDRAS,PASSO DAS PEDRAS,0.97,1
PARENON,PARTENON,0.933,1
JARDIM I SABARA,JARDIM ITU SABARA,0.938,1
ARQUIPELAGOS,ARQUIPELAGO,0.957,1
FARROUPILJHA,FARROUPILHA,0.957,1
CHAPAU DO SOL,CHAPEU DO SOL,0.923,1
BALEM NOVO,BELEM NOVO,0.9,1
CASCAT,CASCATA,0.923,1
JARDIM IPU SABARA,JARDIM ITU SABARA,0.941,1
LOMBRA DO PINHEIRO,LOMBA DO PINHEIRO,0.971,1
BELEM NOVI,BELEM NOVO,0.9,1
TUBEM BERTA,RUBEM BERTA,0.909,1
AZEHA,AZENHA,0.909,1
UMAITA,HUMAITA,0.923,1
CORONEL APARICIO,CORONEL APARICIO BOR,0.889,1
MNINO DEUS,MENINO DEUS,0.952,1
JARDI ITU,JARDIM ITU,0.947,1
JARDIM IPU,JARDIM ITU,0.9,1
RUBE BERTA,RUBEM BERTA,0.952,1
CIDAE BAIXA,CIDADE BAIXA,0.957,1
JARDIM DONA LEOPOLIN,JARDIM DONA LEOPOLDINA,0.952,1
ENINO DEUS,MENINO DEUS,0.952,1
SO JOAO,SAO JOAO,0.933,1
JARDIM D LEOPOLDINA,JARDIM LEOPOLDINA,0.944,1
NAVEGANDES,NAVEGANTES,0.9,1
ABERTA DO MORRO,ABERTA DOS MORROS,0.938,1
CARVALHADA,CAVALHADA,0.947,1
BON JESUS,BOM JESUS,0.889,1
VILA PESSOA,VILA J PESSOA,0.917,1
SNTANA,SANTANA,0.923,1
JADIM BOTANICO,JARDIM BOTANICO,0.966,1
CENTRO HISTORICA,CENTRO HISTORICO,0.938,1
BOM FIIM,BOM FIM,0.933,1
TERESOPLIS,TERESOPOLIS,0.952,1
PARQUE DOS MAIS,PARQUE DOS MAIAS,0.968,1
B INTERCAP,INTERCAP,0.889,1
MENINNO DEUS,MENINO DEUS,0.957,1
PRAIDA DE BELAS,PRAIA DE BELAS,0.966,1
ABERTA DOS MOROOS,ABERTA DOS MORROS,0.941,1
ISTO REDENTOR,CRISTO REDENTOR,0.929,1
MENIINO DEUS,MENINO DEUS,0.957,1
TERRESOPOLIS,TERESOPOLIS,0.957,1
LOMBA DO PINHERO,LOMBA DO PINHEIRO,0.97,1
BELA VISTLA,BELA VISTA,0.952,1
JOAO SARANDI,S JOAO SARANDI,0.923,1
PASSA D AREIA,PASSO D AREIA,0.923,1
COSTA SILVA,COSTA E SILVA,0.917,1
TERESEPOLIS,TERESOPOLIS,0.909,1
JARDIM LEOP0LDINA,JARDIM LEOPOLDINA,0.941,1
FARROUPINHA,FARROUPILHA,0.909,1
