tipo,registros,macro
ESTELIONATO,66692,FRAUDE
AMEACA,52143,AMEACA_VD
ROUBO A PEDESTRE,32795,ROUBO_RUA
LESAO CORPORAL,24905,LESAO
OUTROS CRIMES,24152,OUTROS
FURTO SIMPLES,20517,FURTO_OUTROS
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,20130,TRANSITO
OUTRAS FRAUDES,15908,FRAUDE
FURTO QUALIFICADO,15042,FURTO_OUTROS
OUTROS FURTOS,13750,FURTO_OUTROS
FURTO DE CELULAR,13670,FURTO_OUTROS
ENTORPECENTES - TRAFICO,11890,DROGAS
VIAS DE FATO,11342,LESAO
INJURIA,10387,HONRA_DISCRIM
FURTO DE DOCUMENTO,10364,FURTO_OUTROS
DANO,9650,DANO
FURTO EM VEICULO,9635,FURTO_VEICULO
PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,8953,ORDEM_PUBLICA
FUGA DE LOCAL DE ACIDENTE - ART. 305,8111,TRANSITO
FURTO DE FIOS E CABOS,6886,FURTO_OUTROS
FURTO DE VEICULO,6696,FURTO_VEICULO
ENTORPECENTES  POSSE,6235,DROGAS
DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA,6136,AMEACA_VD
ESTELIONATO  FRAUDE ELETRONICA,6118,FRAUDE
CALUNIA,5479,HONRA_DISCRIM
FURTO DE TELEFONE CELULAR,5096,FURTO_OUTROS
APROPRIACAO INDEBITA,4812,FRAUDE
ROUBO DE CELULAR,4782,ROUBO_RUA
ROUBO DE VEICULO,4325,ROUBO_VEICULO
PERSEGUICAO,4016,AMEACA_VD
DIFAMACAO,3722,HONRA_DISCRIM
FURTO/ARROMBAMENTO DE RESIDENCIA,3312,FURTO_ARROMBAMENTO
FURTO EM VEICULO - ESTEPE,3048,FURTO_VEICULO
OUTROS ROUBOS,2978,ROUBO_OUTROS
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,2933,FURTO_ARROMBAMENTO
