cod_municipio,municipio,municipio_norm,mesorregiao,regiao_intermediaria,populacao,ano_populacao
4300034,Aceguá,ACEGUA,Sudoeste Rio-grandense,Pelotas,4170,2022
4300059,Água Santa,AGUA SANTA,Noroeste Rio-grandense,Passo Fundo,3912,2022
4300109,Agudo,AGUDO,Centro Ocidental Rio-grandense,Santa Maria,16041,2022
4300208,Ajuricaba,AJURICABA,Noroeste Rio-grandense,Ijuí,6720,2022
4300307,Alecrim,ALECRIM,Noroeste Rio-grandense,Ijuí,6123,2022
4300406,Alegrete,ALEGRETE,Sudoeste Rio-grandense,Uruguaiana,72409,2022
4300455,Alegria,ALEGRIA,Noroeste Rio-grandense,Ijuí,3651,2022
4300471,Almirante Tamandaré do Sul,ALMIRANTE TAMANDARE DO SUL,Noroeste Rio-grandense,Passo Fundo,1969,2022
4300505,Alpestre,ALPESTRE,Noroeste Rio-grandense,Passo Fundo,7117,2022
4300554,Alto Alegre,ALTO ALEGRE,Noroeste Rio-grandense,Passo Fundo,1800,2022
4300570,Alto Feliz,ALTO FELIZ,Metropolitana de Porto Alegre,Caxias do Sul,3072,2022
4300604,Alvorada,ALVORADA,Metropolitana de Porto Alegre,Porto Alegre,187315,2022
4300638,Amaral Ferrador,AMARAL FERRADOR,Sudeste Rio-grandense,Porto Alegre,5310,2022
4300646,Ametista do Sul,AMETISTA DO SUL,Noroeste Rio-grandense,Passo Fundo,7650,2022
4300661,André da Rocha,ANDRE DA ROCHA,Nordeste Rio-grandense,Caxias do Sul,1135,2022
4300703,Anta Gorda,ANTA GORDA,Nordeste Rio-grandense,Santa Cruz do Sul - Lajeado,5957,2022
4300802,Antônio Prado,ANTONIO PRADO,Nordeste Rio-grandense,Caxias do Sul,13045,2022
4300851,Arambaré,ARAMBARE,Metropolitana de Porto Alegre,Porto Alegre,4112,2022
4300877,Araricá,ARARICA,Metropolitana de Porto Alegre,Porto Alegre,8525,2022
4300901,Aratiba,ARATIBA,Noroeste Rio-grandense,Passo Fundo,6483,2022
4301008,Arroio do Meio,ARROIO DO MEIO,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,21958,2022
4301057,Arroio do Sal,ARROIO DO SAL,Metropolitana de Porto Alegre,Porto Alegre,11057,2022
4301073,Arroio do Padre,ARROIO DO PADRE,Sudeste Rio-grandense,Pelotas,2599,2022
4301107,Arroio dos Ratos,ARROIO DOS RATOS,Metropolitana de Porto Alegre,Porto Alegre,14601,2022
4301206,Arroio do Tigre,ARROIO DO TIGRE,Centro Oriental Rio-grandense,Santa Cruz do Sul - Lajeado,12058,2022
4301305,Arroio Grande,ARROIO GRANDE,Sudeste Rio-grandense,Pelotas,17558,2022
4301404,Arvorezinha,ARVOREZINHA,Nordeste Rio-grandense,Passo Fundo,10322,2022
4301503,Augusto Pestana,AUGUSTO PESTANA,Noroeste Rio-grandense,Ijuí,7149,2022
4301552,Áurea,AUREA,Noroeste Rio-grandense,Passo Fundo,3396,2022
4301602,Bagé,BAGE,Sudoeste Rio-grandense,Pelotas,117938,2022
4301636,Balneário Pinhal,BALNEARIO PINHAL,Metropolitana de Porto Alegre,Porto Alegre,14955,2022
4301651,Barão,BARAO,Metropolitana de Porto Alegre,Caxias do Sul,6461,2022
4301701,Barão de Cotegipe,BARAO DE COTEGIPE,Noroeste Rio-grandense,Passo Fundo,7144,2022
4301750,Barão do Triunfo,BARAO DO TRIUNFO,Metropolitana de Porto Alegre,Porto Alegre,5889,2022
4301800,Barracão,BARRACAO,Noroeste Rio-grandense,Passo Fundo,4831,2022
4301859,Barra do Guarita,BARRA DO GUARITA,Noroeste Rio-grandense,Ijuí,3161,2022
4301875,Barra do Quaraí,BARRA DO QUARAI,Sudoeste Rio-grandense,Uruguaiana,4241,2022
4301909,Barra do Ribeiro,BARRA DO RIBEIRO,Metropolitana de Porto Alegre,Porto Alegre,12225,2022
4301925,Barra do Rio Azul,BARRA DO RIO AZUL,Noroeste Rio-grandense,Passo Fundo,1696,2022
4301958,Barra Funda,BARRA FUNDA,Noroeste Rio-grandense,Passo Fundo,2498,2022
4302006,Barros Cassal,BARROS CASSAL,Noroeste Rio-grandense,Passo Fundo,9296,2022
4302055,Benjamin Constant do Sul,BENJAMIN CONSTANT DO SUL,Noroeste Rio-grandense,Passo Fundo,2082,2022
4302105,Bento Gonçalves,BENTO GONCALVES,Nordeste Rio-grandense,Caxias do Sul,123151,2022
4302154,Boa Vista das Missões,BOA VISTA DAS MISSOES,Noroeste Rio-grandense,Passo Fundo,1933,2022
4302204,Boa Vista do Buricá,BOA VISTA DO BURICA,Noroeste Rio-grandense,Ijuí,6966,2022
4302220,Boa Vista do Cadeado,BOA VISTA DO CADEADO,Noroeste Rio-grandense,Passo Fundo,2229,2022
4302238,Boa Vista do Incra,BOA VISTA DO INCRA,Noroeste Rio-grandense,Passo Fundo,2271,2022
4302253,Boa Vista do Sul,BOA VISTA DO SUL,Nordeste Rio-grandense,Caxias do Sul,2779,2022
