cod_municipio,municipio,mesorregiao,populacao,n_ocorrencias,n_crime_rua,taxa_100k,taxa_crime_rua_100k
4323804.0,XANGRI LA,Metropolitana de Porto Alegre,16463.0,7966,2512,12096.823179250441,3814.6145902933854
4310330.0,IMBE,Metropolitana de Porto Alegre,26824.0,12975,4521,12092.715478675813,4213.577393379063
4301057.0,ARROIO DO SAL,Metropolitana de Porto Alegre,11057.0,5163,1789,11673.600434114136,4044.9489011485934
4321600.0,TRAMANDAI,Metropolitana de Porto Alegre,54387.0,24991,9192,11487.579752514388,4225.274422196481
4307401.0,ESMERALDA,Nordeste Rio-grandense,3195.0,1459,415,11416.275430359938,3247.261345852895
4321501.0,TORRES,Metropolitana de Porto Alegre,41751.0,19053,5835,11408.708773442553,3493.928289142775
4312302.0,MIRAGUAI,Noroeste Rio-grandense,4427.0,1967,495,11107.973797153829,2795.346735938559
4305454.0,CIDREIRA,Metropolitana de Porto Alegre,17071.0,7330,2808,10734.579110772656,4112.237127291898
4304630.0,CAPAO DA CANOA,Metropolitana de Porto Alegre,63594.0,27296,8719,10730.572066547158,3427.6032330094035
4304002.0,CAMPO NOVO,Noroeste Rio-grandense,4975.0,2077,654,10437.18592964824,3286.4321608040204
4322509.0,VACARIA,Nordeste Rio-grandense,64197.0,26737,8557,10412.090907674814,3332.3208249606682
4301636.0,BALNEARIO PINHAL,Metropolitana de Porto Alegre,14955.0,6214,1948,10387.830157138082,3256.435974590438
4314902.0,PORTO ALEGRE,Metropolitana de Porto Alegre,1332845.0,528978,228390,9921.971422033319,4283.881471588969
4321402.0,TENENTE PORTELA,Noroeste Rio-grandense,14497.0,5706,1547,9839.966889701318,2667.79333655239
4309100.0,GRAMADO,Metropolitana de Porto Alegre,40134.0,15305,3960,9533.68714805402,2466.7364329496186
4306106.0,CRUZ ALTA,Noroeste Rio-grandense,58913.0,22021,6531,9344.711693514166,2771.4596099332916
4320800.0,SOLEDADE,Noroeste Rio-grandense,29991.0,11098,3750,9251.108665933114,3125.9377813344
4316451.0,SALTO DO JACUI,Noroeste Rio-grandense,10203.0,3755,1112,9200.72527687935,2724.6888170146035
4305439.0,CHUI,Sudeste Rio-grandense,6262.0,2286,886,9126.477163845417,3537.208559565634
4311700.0,MACHADINHO,Noroeste Rio-grandense,5735.0,2055,673,8958.151700087185,2933.740191804708
4304408.0,CANELA,Metropolitana de Porto Alegre,48946.0,17233,5173,8802.047154006457,2642.1975238017408
4317509.0,SANTO ANGELO,Noroeste Rio-grandense,76917.0,26610,9398,8648.933265727992,3054.5913127137046
